"V1" "V2" "V3" "V4" "V6"
"1" 0 0.362815489114475 0.199550011537792 0.650602409638554 0.4
"2" 0.347826086956522 0.304208480147966 0.602729159406225 0.554216867469879 0.6
"3" 0.579710144927536 0.252499586391045 0.378442066365541 0.542168674698795 0.6
"4" 0 0.350027865267998 0.397568346886493 0.566265060240963 0.6
"5" 0.376811594202899 0.289380683558541 0.795794239811104 0.385542168674699 0.4
"6" 0.144927536231884 0.332320560235989 0.489621399133243 0.481927710843373 0.4
"7" 0 0.379257621809668 0.606858634388866 0.843373493975903 0.6
"8" 0.376811594202899 0.366989374333286 0.423837104578476 0.457831325301205 0.6
"9" 0.0579710144927536 0.223921907335414 0.199550011537792 0.771084337349397 0.6
"10" 0.608695652173913 0.24131063581107 0.310729344305494 0.301204819277108 0.8
"11" 0.63768115942029 0.263386095568262 0.357784109655498 0.216867469879518 0.8
"12" 0.304347826086957 0.257979620846362 0.199550011537792 0.373493975903614 0.4
"13" 0.0869565217391304 0.235597400739842 0.178892054827749 0.337349397590361 0.4
"14" 0.608695652173913 0.289380683558541 0.388182342330121 0.385542168674699 0.6
"15" 0.536231884057971 0.0664902142239173 0.594266542884429 0.626506024096386 0.6
"16" 0.492753623188406 0.350027865267998 0.755352456541991 0.590361445783132 0.4
"17" 0 0.263386095568262 0.489621399133243 0.746987951807228 0.4
"18" 0.188405797101449 0.159854415118102 0.335327632215176 0.385542168674699 0.6
"19" 0.144927536231884 0.24131063581107 0.606858634388866 0.469879518072289 0.4
"20" 0.608695652173913 0.683805649666595 0.218676292058745 0.36144578313253 0.6
"21" 0.72463768115942 0.668386491468667 0.674886288373719 0.325301204819277 0.4
"22" 0 0.24694396287307 0.571810065444108 0.506024096385542 0.4
"23" 0.710144927536232 0.445922918113803 0.268785373296658 0.216867469879518 0.6
"24" 0.130434782608696 0.205748464492531 0.469500563700011 0.518072289156626 0.6
"25" 0.0434782608695652 0.24694396287307 0.50221349063768 0.578313253012048 0.2
"26" 0.36231884057971 0.294384180438725 0.469500563700011 0.686746987951807 0.4
"27" 0.536231884057971 0.0919371796700158 0.74834514790562 0 0.6
"28" 0.463768115942029 0.279183270048465 0.834167392715816 0.433734939759036 0.4
"29" 0.333333333333333 0.354335674451201 0.40662494912584 0.385542168674699 0.6
"30" 0.27536231884058 0.284314247961268 0.378442066365541 0.590361445783132 0.6
"31" 0.681159420289855 0.21189784072083 0.357784109655498 0.313253012048193 0.8
"32" 0.594202898550725 0.229801958030977 0.483087210116727 0.481927710843373 0.8
"33" 0.478260869565217 0.26872095924558 0.531242559993235 0.457831325301205 0.6
"34" 0.579710144927536 0.284314247961268 0.55733412119329 0.662650602409638 0.4
"35" 0.594202898550725 0.391163207376421 0.131837289477746 0.289156626506024 0.8
"36" 1 0.358597897496706 0.455158725287676 0.253012048192771 0.6
"37" 0.333333333333333 0.252499586391045 0.770998863934338 0.44578313253012 0.4
"38" 0.768115942028986 0.235597400739842 0.253138965904312 0.313253012048193 1
"39" 0.739130434782609 0.39505479628987 0.346800040052986 0.469879518072289 0.6
"40" 0.869565217391304 0.42490373253718 0.698911686635616 0.373493975903614 0.4
"41" 0.173913043478261 0.304208480147966 0.757646575472753 0.337349397590361 0.4
"42" 0.521739130434783 0.24131063581107 0.731214626703342 0.554216867469879 0.4
"43" 0.347826086956522 0.284314247961268 0.687178453429114 0.542168674698795 0.6
"44" 0.579710144927536 0.21189784072083 0.855347264023043 0.433734939759036 0.6
"45" 0.0869565217391304 0.19316068005437 0.514219687042925 0.590361445783132 0.6
"46" 0.652173913043478 0.24131063581107 0.489621399133243 0.602409638554217 0.4
"47" 0 0.371120449718481 0.622745906642703 0.373493975903614 0.4
"48" 0.869565217391304 0 0.297491228232569 0.493975903614457 0.6
"49" 0.376811594202899 0.38326537944551 0.641321308234433 0.313253012048193 0.4
"50" 0 0.229801958030977 0.297491228232569 0.506024096385542 0.6
"51" 0.391304347826087 0.304208480147966 0.701763502175471 0.44578313253012 0.6
"52" 0 0.637781167545171 0.520019631807867 0.506024096385542 0.6
"53" 0.434782608695652 0.223921907335414 0.750702120271857 0.493975903614457 0.4
"54" 0.405797101449275 0.904040024369313 0.576460401714242 0.265060240963855 0.4
"55" 0.782608695652174 0.358597897496706 0.49599423354597 0.156626506024096 0.8
"56" 0.927536231884058 0.166739648065337 0.55733412119329 0.542168674698795 0.6
"57" 0.0869565217391304 0.289380683558541 0.439972775966363 0.951807228915663 0.4
"58" 0.072463768115942 0.257979620846362 0.297491228232569 0.542168674698795 0.6
"59" 0.666666666666667 0.43203270305264 0.310729344305494 0.518072289156626 0.4
"60" 0.420289855072464 0.279183270048465 0.618864830794111 0.674698795180723 0.6
"61" 0.463768115942029 0.217954741614272 0.0742469110765627 0.566265060240963 0.8
"62" 0.579710144927536 0.341271513471171 0.397568346886493 0.216867469879518 0.6
"63" 0.27536231884058 0.26872095924558 0.514219687042925 0.602409638554217 0.4
"64" 0.347826086956522 0.895187441221126 0.606858634388866 0.132530120481928 0.4
"65" 0.434782608695652 0.257979620846362 0.357784109655498 0.421686746987952 1
"66" 0.710144927536232 0.263386095568262 0.297491228232569 0.301204819277108 0.4
"67" 0.144927536231884 0.294384180438725 0.690162147704775 0.710843373493976 0.4
"68" 0 0.323166158925161 0.156435577387428 0.987951807228915 0.8
"69" 0.420289855072464 0.304208480147966 0.610923075559809 0.325301204819277 0.4
"70" 0.507246376811594 0.327769366962235 0.483087210116727 0.542168674698795 0.4
"71" 0 0.294384180438725 0.178892054827749 0.771084337349397 0.4
"72" 0.0289855072463768 0.279183270048465 0.236482433228932 0.554216867469879 0.6
